,tweetId,createdAt,text,retweetCount,likeCount,isQuote,place,hashtags,userMentions,source,sourceUrl,userId,userName,userScreenName,userCreatedAt,userFollowersCount,userDescription,userVerified,userProtected,userLocation,userFriendsCount,userStatusesCount,userListedCount,
0,1324018399807262720,2020-11-04 15:59:20,We will win Arizona! The @FoxNews call was horrible...,14427,79780,FALSE,,,"{'screen_name': 'FoxNews', 'name': 'Fox News', 'id': 1367531, 'id_str': '1367531', 'indices': [25, 33]}",Twitter for iPhone,http://twitter.com/download/iphone,39349894,Eric Trump,EricTrump,2009-05-11 21:42:30,4420030,Executive Vice President of The @Trump Organization. Husband to @LaraLeaTrump. Large advocate of @StJude Children's Hospital @TrumpWinery #MakeAmericaGreatAgain,TRUE,FALSE,,1039,7036,8630,
,1324002459291770880,2020-11-04 14:55:59,"Arizona ballots are still being counted. The activist media wants to tell you that AZ is over, it is not.",8536,42319,FALSE,,,,,Twitter for iPhone,http://twitter.com/download/iphone,292929271,Charlie Kirk,charliekirk11,2011-05-04 13:37:25,1881371,"Founder & President—@TPUSA
Chair—@TrumpStudents
Host—The Charlie Kirk Show
Author—'The MAGA Doctrine’
We are all sinners saved by Jesus
Opinions here are my own",TRUE,FALSE,"Phoenix, AZ",224190,49293,5513
,,,,,,,,,,,,,,,,,,,,,,,,
,1324011444720095233,2020-11-04 15:31:42,"BREAKING:

ARIZONA is BACK IN PLAY!!!

Sources are saying that @realDonaldTrump has the potential for a 30k vote WI… https://t.co/PCfdanmze7",4708,12785,FALSE,,,,"{'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [63, 79]}",Twitter Web App,https://mobile.twitter.com,832978972602429440,Graham Allen,GrahamAllen_1,2017-02-18 15:43:57,160863,Author of America 3:16 | Host of “Dear America Podcast” available EVERYWHERE!! @TPUSA Contributor,TRUE,FALSE,,513,2709,372
,,,,,,,,,,,,,,,,,,,,,,,,
,1324015599115210763,2020-11-04 15:48:12,"Arizona is back in play.

Many votes left to be counted.

I feel very good about this.",5889,35511,FALSE,,,,,Twitter for iPhone,http://twitter.com/download/iphone,166751745,Ryan Fournier,RyanAFournier,2010-07-14 22:44:56,1110865,Founder and Co-Chairman of @TrumpStudents / Turning Point Action / Ephesians 4:32 📧 press@ryanfournier.com,TRUE,FALSE,"Washington, DC",303969,14784,2751
,,,,,,,,,,,,,,,,,,,,,,,,
,1324019675731288066,2020-11-04 16:04:24,"The latest plot twist comes from Arizona, which had reportedly counted 95%+ of its votes. NYT notes that ""due to an… https://t.co/yMMgC1lNPn",5736,16696,FALSE,,,,,Twitter Web App,https://mobile.twitter.com,64213467,Jeff Dufour,dcdufour,2009-08-09 17:30:06,3978,"Editor in chief at National Journal. Soccer player, cocktail nerd. Occasional Mick Jagger impersonator. Georgetown. RTs do not = endorsements.",TRUE,FALSE,"Washington, D.C.",2072,8121,93
,,,,,,,,,,,,,,,,,,,,,,,,
,1324027079202164737,2020-11-04 16:33:49,"Arizona is still in play.

AZ + PA = re-election.

There is a pathway to victory.",6063,32828,FALSE,,,,,Twitter for iPhone,http://twitter.com/download/iphone,931286316,#ThePersistence,ScottPresler,2012-11-07 5:23:07,840276,I helped defeat Hillary & organized the Baltimore cleanup. Republicans need 18 seats to flip the House. Focus on voter registration. https://t.co/SRaEZoa2Vi,TRUE,FALSE,Make Kindness Cool Again,40518,81778,2342
,,,,,,,,,,,,,,,,,,,,,,,,
,1323843582369894400,2020-11-04 4:24:40,Congratulations Cindy McCain. You helped cost us Arizona.,9262,67774,FALSE,,,,,Twitter for Android,http://twitter.com/download/android,38495835,Mark R. Levin,marklevinshow,2009-05-07 19:18:36,2627484,"THIS IS THE OFFICIAL MARK LEVIN SHOW TWITTER PAGE.
DOWNLOAD MY PODCAST FOR FREE https://t.co/HUEgXS3l2C",TRUE,FALSE,Underground Bunker,6,26671,10347
,,,,,,,,,,,,,,,,,,,,,,,,
,1323813284609290240,2020-11-04 2:24:16,"People of Arizona, PLEASE STAY IN LINE. If you’re in line, they must let you vote.",11937,116002,FALSE,,,,,Twitter for iPhone,http://twitter.com/download/iphone,443215941,Seth Rogen,Sethrogen,2011-12-21 23:17:52,8722052,I... Tweet!!!!!!,TRUE,FALSE,,1556,9255,10149
,,,,,,,,,,,,,,,,,,,,,,,,
,1323847401069715456,2020-11-04 4:39:50,"Arizona—if you are in line STAY IN LINE, especially rural Arizona.  Suppression calls cannot swing this election. P… https://t.co/yB3X2dVXGh",15896,65176,FALSE,,,,,Twitter Web App,https://mobile.twitter.com,292929271,Charlie Kirk,charliekirk11,2011-05-04 13:37:25,1881371,"Founder & President—@TPUSA
Chair—@TrumpStudents
Host—The Charlie Kirk Show
Author—'The MAGA Doctrine’
We are all sinners saved by Jesus
Opinions here are my own",TRUE,FALSE,"Phoenix, AZ",224190,49293,5513
,,,,,,,,,,,,,,,,,,,,,,,,
,1323858872667312129,2020-11-04 5:25:26,Fox News would stand head and shoulders above the lapdog liberal propaganda hucksters like CNN if they were to resc… https://t.co/YziRryumel,10228,52503,FALSE,,,,,Twitter for iPhone,http://twitter.com/download/iphone,78523300,James Woods,RealJamesWoods,2009-09-30 5:31:28,2715038,This is the ONLY verified Twitter account for James Woods. ALL others are fake. I am on NO other social media (except a private Instagram). They’re ALL fake.,TRUE,FALSE,,5244,35552,9560
,,,,,,,,,,,,,,,,,,,,,,,,
